"","id","spell","type","effect"
"1","5b74ebd5fb6fc0739646754c","Aberto","Charm","opens objects"
"2","5b74ecfa3228320021ab622b","Accio","Charm","Summons an object"
"3","5b74ed2f3228320021ab622c","Age Line","Enchantment","Hides things from younger people"
"4","5b74ed453228320021ab622d","Aguamenti","Charm","shoots water from wand"
"5","5b74ed583228320021ab622e","Alarte Ascendare","Spell","shoots things high in the air"
"6","5b74ed6d3228320021ab622f","Alohomora","Charm","opens locked objects"
"7","5b74ed823228320021ab6230","Anapneo","Spell","clears the target's airway"
"8","5b74ed933228320021ab6231","Anteoculatia","Hex","turns head hair into antlers"
"9","5b74eda53228320021ab6232","Anti-Cheating","Spell","prevents cheating on exams"
"10","5b74edb53228320021ab6233","Aparecium","Spell","reveals invisible ink"
"11","5b74edc23228320021ab6234","Apparate","Spell","teleportation spell"
"12","5b74edcf3228320021ab6235","Arania Exumai","Spell","blasts away spiders"
"13","5b74ede13228320021ab6236","Aqua Eructo","Spell","shoots water from wand"
"14","5b74edee3228320021ab6237","Arresto Momentum","Spell","slows down objects"
"15","5b74edfa3228320021ab6238","Ascendio","Spell","moves an object upward"
"16","5b74ee1d3228320021ab6239","Avada Kedavra","Curse","murders opponent"
"17","5b74ee2f3228320021ab623a","Avifors","Charm","turns small objects into birds"
"18","5b74ee453228320021ab623b","Avis","Spell","launches birds from your wand"
"19","5b74ee553228320021ab623c","Babbling Curse ","Curse","makes a person babble"
"20","5b74ee833228320021ab623d","Bombarda","Spell","causes explosions"
"21","5b74ee8d3228320021ab623e","Bombarda Maxima","Spell","causes large explosions"
"22","5b74eea03228320021ab623f","Bubble Head","Charm","puts a person's head in a protective air bubble"
"23","5b74eeb63228320021ab6240","Carpe Retractum","Spell","shoots a rope from a wand to snag things"
"24","5b74eed03228320021ab6241","Caterwauling","Charm","detects enemies and emits a scream"
"25","5b74eedd3228320021ab6242","Cave Inimicum","Charm","detects enemies and emits an alarm"
"26","5b74eee93228320021ab6243","Cheering","Charm","makes a person happy and giddy"
"27","5b74eef43228320021ab6244","Cistem Aperio","Spell","opens things"
"28","5b74eefc3228320021ab6245","Colloportus","Spell","locks doors"
"29","5b74ef093228320021ab6246","Colloshoo","Spell","makes a person's shoes stick to the ground"
"30","5b74ef233228320021ab6247","Colovaria","Charm","makes an object change colour"
"31","5b74ef413228320021ab6248","Confringo","Curse","explode flames on target"
